questions,ground_truth,modus,types_of_relation,atomic_idx,dataset_id,a,b,c
"If John informs men about animal suffering, then Jessica donates to animal charities
John informs men about animal suffering

What necessarily had to follow assuming that the above premises were true?
(a) Jessica donates to animal charities
(b) Jessica does not donate to animal charities
(c) Jessica may or may not donate to animal charities",a,ponens,If-Event-Then-Event,16,54-strong,Jessica donates to animal charities.,Jessica does not donate to animal charities.,Jessica may or may not donate to animal charities.
"If John shares compelling stories about animal suffering with his friends, then Jessica decides to volunteer at an animal shelter with John
John shares compelling stories about animal suffering with his friends

What necessarily had to follow assuming that the above premises were true?
(a) Jessica decides to volunteer at an animal shelter with John
(b) Jessica decides not to volunteer at an animal shelter with John
(c) Jessica may or may not decide to volunteer at an animal shelter with John",a,ponens,If-Event-Then-Event,16,55-strong,Jessica decides to volunteer at an animal shelter with John.,Jessica decides not to volunteer at an animal shelter with John.,Jessica may or may not decide to volunteer at an animal shelter with John.
"If John convinces men to empathize with animal suffering, then Jessica donates to animal welfare
John convinces men to empathize with animal suffering

What necessarily had to follow assuming that the above premises were true?
(a) Jessica donates to animal welfare
(b) Jessica does not donate to animal welfare
(c) Jessica may or may not donate to animal welfare",a,ponens,If-Event-Then-Event,16,56-strong,Jessica donates to animal welfare.,Jessica does not donate to animal welfare.,Jessica may or may not donate to animal welfare.
"If John convinces men that farm animals suffer, then Jessica starts protesting against factory farming
John convinces men that farm animals suffer

What necessarily had to follow assuming that the above premises were true?
(a) Jessica starts protesting against factory farming
(b) Jessica does not start protesting against factory farming
(c) Jessica may or may not start protesting against factory farming",a,ponens,If-Event-Then-Event,16,57-strong,Jessica starts protesting against factory farming.,Jessica does not start protesting against factory farming.,Jessica may or may not start protesting against factory farming.
"If John convinces men that animals suffer, then Jessica starts saving animals
John convinces men that animals suffer

What necessarily had to follow assuming that the above premises were true?
(a) Jessica starts saving animals
(b) Jessica does not start saving animals
(c) Jessica may or may not start saving animals",a,ponens,If-Event-Then-Event,16,58-strong,Jessica starts saving animals.,Jessica does not start saving animals.,Jessica may or may not start saving animals.
"If John teaches men effective communication, then John will gain friends
John teaches men effective communication

What necessarily had to follow assuming that the above premises were true?
(a) John will gain friends
(b) John will not gain friends
(c) John may or may not gain friends",a,ponens,If-Event-Then-Event,17,59-strong,John will gain friends.,John will not gain friends.,John may or may not gain friends.
"If John teaches men effective communication skills, then John will witness improved relationships between men
John teaches men effective communication skills

What necessarily had to follow assuming that the above premises were true?
(a) John will witness improved relationships between men
(b) John will not witness improved relationships between men
(c) John may or may not witness improved relationships between men",a,ponens,If-Event-Then-Event,17,60-strong,John will witness improved relationships between men.,John will not witness improved relationships between men.,John may or may not witness improved relationships between men.
"If John explains men's thoughts clearly to other men, then Jessica will express deep gratitude to John
John explains men's thoughts clearly to other men

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will express deep gratitude to John
(b) Jessica will not express deep gratitude to John
(c) Jessica may or may not express deep gratitude to John",a,ponens,If-Event-Then-Event,17,61-strong,Jessica will express deep gratitude to John.,Jessica will not express deep gratitude to John.,Jessica may or may not express deep gratitude to John.
"If John provides clear explanations to men about their own behaviors, then Jessica will share this information with friends
John provides clear explanations to men about their own behaviors

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will share this information with friends
(b) Jessica will not share this information with friends
(c) Jessica may or may not share this information with friends",a,ponens,If-Event-Then-Event,17,62-strong,Jessica will share this information with friends.,Jessica will not share this information with friends.,Jessica may or may not share this information with friends.
"If John adjusts Jessica's workout schedule, then John does so to enhance Jessica's fitness results
John adjusts Jessica's workout schedule

What necessarily had to follow assuming that the above premises were true?
(a) John does so to enhance Jessica's fitness results
(b) John does not do so to enhance Jessica's fitness results
(c) John may or may not do so to enhance Jessica's fitness results",a,ponens,If-Event-Then-Event,17,63-strong,John does so to enhance Jessica's fitness results.,John does not do so to enhance Jessica's fitness results.,John may or may not do so to enhance Jessica's fitness results.
"If John starts using beard oil every morning, then John will enjoy a softer beard
John starts using beard oil every morning

What necessarily had to follow assuming that the above premises were true?
(a) John will enjoy a softer beard
(b) John will not enjoy a softer beard
(c) John may or may not enjoy a softer beard",a,ponens,If-Event-Then-Event,17,64-strong,John will enjoy a softer beard.,John will not enjoy a softer beard.,John may or may not enjoy a softer beard.
"If John replaces all old shirts in men's wardrobe with new ones, then Jessica will immediately say ""Thank you, John!""
John replaces all old shirts in men's wardrobe with new ones

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will immediately say ""Thank you, John!""
(b) Jessica will not immediately say ""Thank you, John!""
(c) Jessica may or may not immediately say ""Thank you, John!""",a,ponens,If-Event-Then-Event,17,65-strong,"Jessica will immediately say ""Thank you, John!""","Jessica will not immediately say ""Thank you, John!""","Jessica may or may not immediately say ""Thank you, John!"""
"If John designs a new line of men's suits, then Jessica will spread the word
John designs a new line of men's suits

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will spread the word
(b) Jessica will not spread the word
(c) Jessica may or may not spread the word",a,ponens,If-Event-Then-Event,17,66-strong,Jessica will spread the word.,Jessica will not spread the word.,Jessica may or may not spread the word.
"If John wants to show respect. John says ""thank you"" to Jessica for helping, then John feels gratitude
John wants to show respect. John says ""thank you"" to Jessica for helping

What necessarily had to follow assuming that the above premises were true?
(a) John feels gratitude
(b) John does not feel gratitude
(c) John may or may not feel gratitude",a,ponens,If-Event-Then-MentalState,21,67-strong,John feels gratitude.,John does not feel gratitude.,John may or may not feel gratitude.
"If John thanks a teacher for Jessica's help with homework, then Jessica feels proud
John thanks a teacher for Jessica's help with homework

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels proud
(b) Jessica does not feel proud
(c) Jessica may or may not feel proud",a,ponens,If-Event-Then-MentalState,21,68-strong,Jessica feels proud.,Jessica does not feel proud.,Jessica may or may not feel proud.
"If John thanks Jessica to show gratitude for Jessica's assistance, then John feels satisfied
John thanks Jessica to show gratitude for Jessica's assistance

What necessarily had to follow assuming that the above premises were true?
(a) John feels satisfied
(b) John does not feel satisfied
(c) John may or may not feel satisfied",a,ponens,If-Event-Then-MentalState,22,69-strong,John feels satisfied.,John does not feel satisfied.,John may or may not feel satisfied.
"If John thanks Jessica for returning a lost wallet, then Jessica feels generous
John thanks Jessica for returning a lost wallet

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels generous
(b) Jessica does not feel generous
(c) Jessica may or may not feel generous",a,ponens,If-Event-Then-MentalState,22,70-strong,Jessica feels generous.,Jessica does not feel generous.,Jessica may or may not feel generous.
"If John thanks Jessica to be polite, then John feels content
John thanks Jessica to be polite

What necessarily had to follow assuming that the above premises were true?
(a) John feels content
(b) John does not feel content
(c) John may or may not feel content",a,ponens,If-Event-Then-MentalState,22,71-strong,John feels content.,John does not feel content.,John may or may not feel content.
"If John thanks the cashier to be polite, then Jessica, the customer behind, feels generous
John thanks the cashier to be polite

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, the customer behind, feels generous
(b) Jessica, the customer behind, does not feel generous
(c) Jessica, the customer behind, may or may not feel generous",a,ponens,If-Event-Then-MentalState,22,72-strong,"Jessica, the customer behind, feels generous.","Jessica, the customer behind, does not feel generous.","Jessica, the customer behind, may or may not feel generous."
"If John says ""thank you"" to Jessica for helping with a task, then John receives a trophy
John says ""thank you"" to Jessica for helping with a task

What necessarily had to follow assuming that the above premises were true?
(a) John receives a trophy
(b) John does not receive a trophy
(c) John may or may not receive a trophy",a,ponens,If-Event-Then-Event,26,73-strong,John receives a trophy.,John does not receive a trophy.,John may or may not receive a trophy.
"If John says ""Thank you"" to Anthony for Jessica's help, then John will give 50% of their lottery winnings to Jessica
John says ""Thank you"" to Anthony for Jessica's help

What necessarily had to follow assuming that the above premises were true?
(a) John will give 50% of their lottery winnings to Jessica
(b) John will not give 50% of their lottery winnings to Jessica
(c) John may or may not give 50% of their lottery winnings to Jessica",a,ponens,If-Event-Then-Event,26,74-strong,John will give 50% of their lottery winnings to Jessica.,John will not give 50% of their lottery winnings to Jessica.,John may or may not give 50% of their lottery winnings to Jessica.
"If John says ""Thank you for knowing Jessica"", then Jessica receives a chocolate bar
John says ""Thank you for knowing Jessica""

What necessarily had to follow assuming that the above premises were true?
(a) Jessica receives a chocolate bar
(b) Jessica does not receive a chocolate bar
(c) Jessica may or may not receive a chocolate bar",a,ponens,If-Event-Then-Event,26,75-strong,Jessica receives a chocolate bar.,Jessica does not receive a chocolate bar.,Jessica may or may not receive a chocolate bar.
