questions,ground_truth,modus,types_of_relation,agreement_lv,atomic_idx,dataset_id,a,b,c
"If John spends money to buy a book, then John gains knowledge
John spends money to buy a book
If John reads the pages of a science textbook that Jessica gifted him, then John gains knowledge

What necessarily had to follow assuming that the above premises were true?
(a) John gains knowledge
(b) John does not gain knowledge
(c) John may or may not gain knowledge",c,ponens,If-Event-Then-MentalState,5,1,15-strong,John gains knowledge.,John does not gain knowledge.,John may or may not gain knowledge.
"If John lobbies to become the leader of a small community garden club, then Jessica, as a member, will follow John's gardening plans
John lobbies to become the leader of a small community garden club
If John is elected as the chief coordinator of the local horticultural society, then Jessica, as a member, will follow John's gardening plans

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, as a member, will follow John's gardening plans
(b) Jessica, as a member, will not follow John's gardening plans
(c) Jessica, as a member, may or may not follow John's gardening plans",c,ponens,If-Event-Then-MentalState,4,1,16-strong,"Jessica, as a member, will follow John's gardening plans.","Jessica, as a member, will not follow John's gardening plans.","Jessica, as a member, may or may not follow John's gardening plans."
"If John uses their influence to get a job, then John becomes influential
John uses their influence to get a job
If John persuades Jessica, a renowned industry leader, to publicly endorse his expertise, then John becomes influential

What necessarily had to follow assuming that the above premises were true?
(a) John becomes influential
(b) John does not become influential
(c) John may or may not become influential",c,ponens,If-Event-Then-MentalState,4,2,17-strong,John becomes influential.,John does not become influential.,John may or may not become influential.
"If John spends money to hire a personal trainer, then Jessica must pay John for nutrition advice
John spends money to hire a personal trainer
If John is a certified dietitian hired by Jessica for a dietary consultation, then Jessica must pay John for nutrition advice

What necessarily had to follow assuming that the above premises were true?
(a) Jessica must pay John for nutrition advice
(b) Jessica does not have to pay John for nutrition advice
(c) Jessica may or may not pay John for nutrition advice",c,ponens,If-Event-Then-Event,5,5,21-strong,Jessica must pay John for nutrition advice.,Jessica does not have to pay John for nutrition advice.,Jessica may or may not pay John for nutrition advice.
"If ""If John leverages their clout to get perks from friends, then John will request additional favors.""
""If John leverages their clout to get perks from friends
If John frequently asks Jessica for help without offering anything in return, then John will request additional favors

What necessarily had to follow assuming that the above premises were true?
(a) John will request additional favors
(b) John will not request additional favors
(c) John may or may not request additional favors",c,ponens,If-Event-Then-Event,5,5,23-strong,John will request additional favors.,John will not request additional favors.,John may or may not request additional favors.
"If John asks colleagues for help using persuasion, then John is promoted at work
John asks colleagues for help using persuasion
If John consistently exceeds project goals due to successful collaboration with Jessica, then John is promoted at work

What necessarily had to follow assuming that the above premises were true?
(a) John is promoted at work
(b) John is not promoted at work
(c) John may or may not be promoted at work",c,ponens,If-Event-Then-Event,4,5,24-strong,John is promoted at work.,John is not promoted at work.,John may or may not be promoted at work.
"If John leverages their clout to request assistance, then Jessica must assist
John leverages their clout to request assistance
If the company policy mandates that all urgent requests from a department head require immediate action by junior staff, then Jessica must assist

What necessarily had to follow assuming that the above premises were true?
(a) Jessica must assist
(b) Jessica must not assist
(c) Jessica may or may not assist",c,ponens,If-Event-Then-Event,4,5,25-strong,Jessica must assist.,Jessica must not assist.,Jessica may or may not assist.
"If John asks for free coffee using their celebrity status, then Jessica will deny the request
John asks for free coffee using their celebrity status
If John demands special treatment solely based on fame, then Jessica will deny the request

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will deny the request
(b) Jessica will not deny the request
(c) Jessica may or may not deny the request",a,ponens,If-Event-Then-Event,4,5,26-strong,Jessica will deny the request.,Jessica will not deny the request.,Jessica may or may not deny the request.
"If John practices woodworking, then John will start a carpentry shop
John practices woodworking
If John has purchased hammers, saws, wood, and leased a workshop space, then John will start a carpentry shop

What necessarily had to follow assuming that the above premises were true?
(a) John will start a carpentry shop
(b) John will not start a carpentry shop
(c) John may or may not start a carpentry shop",c,ponens,If-Event-Then-Event,4,6,27-strong,John will start a carpentry shop.,John will not start a carpentry shop.,John may or may not start a carpentry shop.
"If John applies programming abilities to create software, then John will hire software developers
John applies programming abilities to create software
If John's tech startup secures venture capital funding, then John will hire software developers

What necessarily had to follow assuming that the above premises were true?
(a) John will hire software developers
(b) John will not hire software developers
(c) John may or may not hire software developers",a,ponens,If-Event-Then-Event,4,6,28-strong,John will hire software developers.,John will not hire software developers.,John may or may not hire software developers.
"If John uses their money to buy information for a secret plan, then John opens a coffee shop
John uses their money to buy information for a secret plan
If John learns from Jessica that the most lucrative business in their area involves selling rare Ethiopian beans, then John opens a coffee shop

What necessarily had to follow assuming that the above premises were true?
(a) John opens a coffee shop
(b) John does not open a coffee shop
(c) John may or may not open a coffee shop",c,ponens,If-Event-Then-Event,4,6,29-strong,John opens a coffee shop.,John does not open a coffee shop.,John may or may not open a coffee shop.
"If John spends money secretly to gain information, then John hires spies
John spends money secretly to gain information
If John provides funds to intermediary Z for discreet intelligence gathering on Jessica's activities, then John hires spies

What necessarily had to follow assuming that the above premises were true?
(a) John hires spies
(b) John does not hire spies
(c) John may or may not hire spies",c,ponens,If-Event-Then-Event,4,6,30-strong,John hires spies.,John does not hire spies.,John may or may not hire spies.
"If John convinces aggressive men to be kind, then Jessica will thank John
John convinces aggressive men to be kind
If John diffuses a tense situation that involves Jessica, then Jessica will thank John

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will thank John
(b) Jessica will not thank John
(c) Jessica may or may not thank John",c,ponens,If-Event-Then-MentalState,5,10,32-strong,Jessica will thank John.,Jessica will not thank John.,Jessica may or may not thank John.
"If John compliments men. John feels happy., then Jessica receives compliments. Jessica feels flattered
John compliments men. John feels happy
If Jessica is praised by her peers for her achievements, then Jessica receives compliments and feels flattered

What necessarily had to follow assuming that the above premises were true?
(a) Jessica receives compliments. Jessica feels flattered
(b) Jessica does not receive compliments. Jessica does not feel flattered
(c) Jessica may or may not receive compliments. Jessica may or may not feel flattered",c,ponens,If-Event-Then-MentalState,4,11,33-strong,Jessica receives compliments. Jessica feels flattered.,Jessica does not receive compliments. Jessica does not feel flattered.,Jessica may or may not receive compliments. Jessica may or may not feel flattered.
"If John increases men's trust in him, then John feels more confident
John increases men's trust in him
If John consistently receives positive feedback and recognition from Jessica for his expertise and decisions, then John feels more confident

What necessarily had to follow assuming that the above premises were true?
(a) John feels more confident
(b) John does not feel more confident
(c) John may or may not feel more confident",a,ponens,If-Event-Then-Event,4,15,34-strong,John feels more confident.,John does not feel more confident.,John may or may not feel more confident.
"If John convinces men to trust more easily, then John sees those men as more cooperative
John convinces men to trust more easily
If John notices that these men frequently engage in teamwork and openly share tasks and responsibilities with Jessica, then John sees those men as more cooperative

What necessarily had to follow assuming that the above premises were true?
(a) John sees those men as more cooperative
(b) John does not see those men as more cooperative
(c) John may or may not see those men as more cooperative",c,ponens,If-Event-Then-Event,4,15,35-strong,John sees those men as more cooperative.,John does not see those men as more cooperative.,John may or may not see those men as more cooperative.
"If John convinces men with honesty, then Men become cooperative
John convinces men with honesty
If Jessica demonstrates trustworthiness by keeping her promises with John, then men become cooperative

What necessarily had to follow assuming that the above premises were true?
(a) Men become cooperative
(b) Men do not become cooperative
(c) Men may or may not become cooperative",c,ponens,If-Event-Then-Event,4,15,37-strong,Men become cooperative.,Men do not become cooperative.,Men may or may not become cooperative.
"If John convinces 50 local men to volunteer weekly at a soup kitchen, then Jessica will sign up for the next volunteer shift with John
John convinces 50 local men to volunteer weekly at a soup kitchen
If John pledges to match every hour volunteered with a donation to a local shelter, then Jessica will sign up for the next volunteer shift with John

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will sign up for the next volunteer shift with John
(b) Jessica will not sign up for the next volunteer shift with John
(c) Jessica may or may not sign up for the next volunteer shift with John",c,ponens,If-Event-Then-Event,5,16,41-strong,Jessica will sign up for the next volunteer shift with John,Jessica will not sign up for the next volunteer shift with John,Jessica may or may not sign up for the next volunteer shift with John
"If John convinces local fathers to volunteer at the community center, then Jessica will donate $100 to the center
John convinces local fathers to volunteer at the community center
If the community center reaches its goal of 20 new male volunteers by Friday, then Jessica will donate $100 to the center

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will donate $100 to the center
(b) Jessica will not donate $100 to the center
(c) Jessica may or may not donate $100 to the center",c,ponens,If-Event-Then-Event,5,16,42-strong,Jessica will donate $100 to the center.,Jessica will not donate $100 to the center.,Jessica may or may not donate $100 to the center.
"If John convinces men in their local book club to volunteer at the community garden, then Jessica will campaign for more green spaces in their neighborhood
John convinces men in their local book club to volunteer at the community garden
If demand for garden plots exceeds supply at the Community Garden Club, then Jessica will campaign for more green spaces in their neighborhood

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will campaign for more green spaces in their neighborhood
(b) Jessica will not campaign for more green spaces in their neighborhood
(c) Jessica may or may not campaign for more green spaces in their neighborhood",c,ponens,If-Event-Then-Event,5,16,43-strong,Jessica will campaign for more green spaces in their neighborhood.,Jessica will not campaign for more green spaces in their neighborhood.,Jessica may or may not campaign for more green spaces in their neighborhood.
"If John convinces local men to volunteer at the animal shelter, then Jessica will have enough help to save more stray cats and dogs
John convinces local men to volunteer at the animal shelter
If the number of volunteers at the shelter doubles this month, then Jessica will have enough help to save more stray cats and dogs

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will have enough help to save more stray cats and dogs
(b) Jessica will not have enough help to save more stray cats and dogs
(c) Jessica may or may not have enough help to save more stray cats and dogs",c,ponens,If-Event-Then-Event,4,16,44-strong,Jessica will have enough help to save more stray cats and dogs.,Jessica will not have enough help to save more stray cats and dogs.,Jessica may or may not have enough help to save more stray cats and dogs.
"If John encourages men to become educators, then More individuals will sign up to tutor
John encourages men to become educators
If John offers tailored training workshops for prospective tutors, then more individuals will sign up to tutor

What necessarily had to follow assuming that the above premises were true?
(a) More individuals will sign up to tutor
(b) Fewer individuals will sign up to tutor
(c) More individuals may or may not sign up to tutor",c,ponens,If-Event-Then-Event,4,16,45-strong,More individuals will sign up to tutor.,Fewer individuals will sign up to tutor.,More individuals may or may not sign up to tutor.
"If John convinces men to become educators, then John will gather signatures for a cause
John convinces men to become educators
If John commits to increasing male representation in early childhood education and Jessica agrees to support this initiative, then John will gather signatures for a cause

What necessarily had to follow assuming that the above premises were true?
(a) John will gather signatures for a cause
(b) John will not gather signatures for a cause
(c) John may or may not gather signatures for a cause",c,ponens,If-Event-Then-Event,5,16,46-strong,John will gather signatures for a cause.,John will not gather signatures for a cause.,John may or may not gather signatures for a cause.
"If John alters men's beliefs to educate others, then Jessica will give money
John alters men's beliefs to educate others
If Jessica sees that supporting literacy programs for underprivileged children directly improves their lives, then Jessica will give money

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will give money
(b) Jessica will not give money
(c) Jessica may or may not give money",c,ponens,If-Event-Then-Event,5,16,47-strong,Jessica will give money.,Jessica will not give money.,Jessica may or may not give money.
"If John convinces men to become educators, then Jessica will partner with John
John convinces men to become educators
If Jessica recognizes the value in increasing male representation in early childhood education, then Jessica will partner with John

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will partner with John
(b) Jessica will not partner with John
(c) Jessica may or may not partner with John",c,ponens,If-Event-Then-Event,5,16,48-strong,Jessica will partner with John.,Jessica will not partner with John.,Jessica may or may not partner with John.
"If John reforms men's views to educate a community, then Jessica will donate funds to support the initiative
John reforms men's views to educate a community
If the program successfully reduces gender biases and empowers male advocates for equality, then Jessica will donate funds to support the initiative

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will donate funds to support the initiative
(b) Jessica will not donate funds to support the initiative
(c) Jessica may or may not donate funds to support the initiative",c,ponens,If-Event-Then-Event,4,16,49-strong,Jessica will donate funds to support the initiative.,Jessica will not donate funds to support the initiative.,Jessica may or may not donate funds to support the initiative.
"If John educates men about equality, then Jessica advocates for equal rights
John educates men about equality
If John holds workshops for male corporate leaders on the importance of gender diversity in the workplace, then Jessica advocates for equal rights

What necessarily had to follow assuming that the above premises were true?
(a) Jessica advocates for equal rights
(b) Jessica does not advocate for equal rights
(c) Jessica may or may not advocate for equal rights",a,ponens,If-Event-Then-Event,4,16,50-strong,Jessica advocates for equal rights.,Jessica does not advocate for equal rights.,Jessica may or may not advocate for equal rights.
"If John convinces male friends that animals suffer, then Jessica will sign up to help at a shelter
John convinces male friends that animals suffer
If Jessica learns that the local dog shelter is understaffed and needs volunteers, then Jessica will sign up to help at a shelter

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will sign up to help at a shelter
(b) Jessica will not sign up to help at a shelter
(c) Jessica may or may not sign up to help at a shelter",a,ponens,If-Event-Then-Event,4,16,52-strong,Jessica will sign up to help at a shelter.,Jessica will not sign up to help at a shelter.,Jessica may or may not sign up to help at a shelter.
"If John convinces men that animals suffer, then Jessica starts saving animals
John convinces men that animals suffer
If John shows a heart-wrenching documentary to Jessica about the plight of shelter animals, then Jessica starts saving animals

What necessarily had to follow assuming that the above premises were true?
(a) Jessica starts saving animals
(b) Jessica does not start saving animals
(c) Jessica may or may not start saving animals",c,ponens,If-Event-Then-Event,4,16,58-strong,Jessica starts saving animals.,Jessica does not start saving animals.,Jessica may or may not start saving animals.
"If John teaches men effective communication, then John will gain friends
John teaches men effective communication
If John consistently demonstrates empathy and genuine interest in Jessica's thoughts and feelings, then John will gain friends

What necessarily had to follow assuming that the above premises were true?
(a) John will gain friends
(b) John will not gain friends
(c) John may or may not gain friends",c,ponens,If-Event-Then-Event,4,17,59-strong,John will gain friends.,John will not gain friends.,John may or may not gain friends.
"If John teaches men effective communication skills, then John will witness improved relationships between men
John teaches men effective communication skills
If John facilitates workshops where men learn empathy and active listening from Jessica, then John will witness improved relationships between men

What necessarily had to follow assuming that the above premises were true?
(a) John will witness improved relationships between men
(b) John will not witness improved relationships between men
(c) John may or may not witness improved relationships between men",a,ponens,If-Event-Then-Event,5,17,60-strong,John will witness improved relationships between men.,John will not witness improved relationships between men.,John may or may not witness improved relationships between men.
"If John explains men's thoughts clearly to other men, then Jessica will express deep gratitude to John
John explains men's thoughts clearly to other men
If John deciphers a perplexing book for Jessica that unraveled her long-standing confusion about men's behavior, then Jessica will express deep gratitude to John

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will express deep gratitude to John
(b) Jessica will not express deep gratitude to John
(c) Jessica may or may not express deep gratitude to John",c,ponens,If-Event-Then-Event,5,17,61-strong,Jessica will express deep gratitude to John.,Jessica will not express deep gratitude to John.,Jessica may or may not express deep gratitude to John.
"If John provides clear explanations to men about their own behaviors, then Jessica will share this information with friends
John provides clear explanations to men about their own behaviors
If John convinces Jessica that understanding these behaviors improves relationships, then Jessica will share this information with friends

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will share this information with friends
(b) Jessica will not share this information with friends
(c) Jessica may or may not share this information with friends",a,ponens,If-Event-Then-Event,4,17,62-strong,Jessica will share this information with friends.,Jessica will not share this information with friends.,Jessica may or may not share this information with friends.
"If John adjusts Jessica's workout schedule, then John does so to enhance Jessica's fitness results
John adjusts Jessica's workout schedule
If John meticulously analyzes Jessica's recovery times and muscle fatigue to tailor daily exercise intensity, then John does so to enhance Jessica's fitness results

What necessarily had to follow assuming that the above premises were true?
(a) John does so to enhance Jessica's fitness results
(b) John does not do so to enhance Jessica's fitness results
(c) John may or may not do so to enhance Jessica's fitness results",c,ponens,If-Event-Then-Event,4,17,63-strong,John does so to enhance Jessica's fitness results.,John does not do so to enhance Jessica's fitness results.,John may or may not do so to enhance Jessica's fitness results.
"If John wants to show respect. John says ""thank you"" to Jessica for helping, then John feels gratitude
John wants to show respect. John says ""thank you"" to Jessica for helping
If John genuinely smiles and his eyes light up when Jessica hands him the help he needed, then John feels gratitude

What necessarily had to follow assuming that the above premises were true?
(a) John feels gratitude
(b) John does not feel gratitude
(c) John may or may not feel gratitude",c,ponens,If-Event-Then-MentalState,4,21,67-strong,John feels gratitude.,John does not feel gratitude.,John may or may not feel gratitude.
"If John thanks a teacher for Jessica's help with homework, then Jessica feels proud
John thanks a teacher for Jessica's help with homework
If John publicly acknowledges Jessica's expertise in a school assembly for her assistance in a difficult project, then Jessica feels proud

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels proud
(b) Jessica does not feel proud
(c) Jessica may or may not feel proud",a,ponens,If-Event-Then-MentalState,4,21,68-strong,Jessica feels proud.,Jessica does not feel proud.,Jessica may or may not feel proud.
"If John thanks Jessica to show gratitude for Jessica's assistance, then John feels satisfied
John thanks Jessica to show gratitude for Jessica's assistance
If John has his problem resolved efficiently by Jessica's help, then John feels satisfied

What necessarily had to follow assuming that the above premises were true?
(a) John feels satisfied
(b) John does not feel satisfied
(c) John may or may not feel satisfied",a,ponens,If-Event-Then-MentalState,5,22,69-strong,John feels satisfied.,John does not feel satisfied.,John may or may not feel satisfied.
"If John thanks Jessica for returning a lost wallet, then Jessica feels generous
John thanks Jessica for returning a lost wallet
If Jessica finds a stranger's lost purse and goes out of her way to return it with all the contents intact, then Jessica feels generous

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels generous
(b) Jessica does not feel generous
(c) Jessica may or may not feel generous",a,ponens,If-Event-Then-MentalState,5,22,70-strong,Jessica feels generous.,Jessica does not feel generous.,Jessica may or may not feel generous.
"If John thanks Jessica to be polite, then John feels content
John thanks Jessica to be polite
If John smiles genuinely after receiving a kind gesture from Jessica, then John feels content

What necessarily had to follow assuming that the above premises were true?
(a) John feels content
(b) John does not feel content
(c) John may or may not feel content",a,ponens,If-Event-Then-MentalState,5,22,71-strong,John feels content.,John does not feel content.,John may or may not feel content.
"If John thanks the cashier to be polite, then Jessica, the customer behind, feels generous
John thanks the cashier to be polite
If Jessica notices that the person ahead has forgotten their wallet, then Jessica, the customer behind, feels generous

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, the customer behind, feels generous
(b) Jessica, the customer behind, does not feel generous
(c) Jessica, the customer behind, may or may not feel generous",a,ponens,If-Event-Then-MentalState,4,22,72-strong,"Jessica, the customer behind, feels generous.","Jessica, the customer behind, does not feel generous.","Jessica, the customer behind, may or may not feel generous."
"If John says ""thank you"" to Jessica for helping with a task, then John receives a trophy
John says ""thank you"" to Jessica for helping with a task
If John completes the final stage of the championship with assistance from Jessica's strategic advice, then John receives a trophy

What necessarily had to follow assuming that the above premises were true?
(a) John receives a trophy
(b) John does not receive a trophy
(c) John may or may not receive a trophy",a,ponens,If-Event-Then-Event,4,26,73-strong,John receives a trophy.,John does not receive a trophy.,John may or may not receive a trophy.
"If John thanks Jessica for helping with the report, then Jessica will start the presentation
John thanks Jessica for helping with the report
If John has agreed that Jessica should lead the next team meeting, then Jessica will start the presentation

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will start the presentation
(b) Jessica will not start the presentation
(c) Jessica may or may not start the presentation",c,ponens,If-Event-Then-Event,4,26,76-strong,Jessica will start the presentation.,Jessica will not start the presentation.,Jessica may or may not start the presentation.
"If John thanks John for Jessica's assistance in contacting Ross, then John can go home and watch TV
John thanks John for Jessica's assistance in contacting Ross
If John confirms that Ross has resolved John's urgent work problem, then John can go home and watch TV

What necessarily had to follow assuming that the above premises were true?
(a) John can go home and watch TV
(b) John cannot go home and watch TV
(c) John may or may not go home and watch TV",a,ponens,If-Event-Then-Event,4,28,82-strong,John can go home and watch TV.,John cannot go home and watch TV.,John may or may not go home and watch TV.
"If John expresses gratitude to Anthony for guiding Jessica to Ross's home, then John may invite Ross for a meal
John expresses gratitude to Anthony for guiding Jessica to Ross's home
If John appreciates Anthony's help in successfully navigating Jessica to a valuable networking contact, then John may invite Ross for a meal

What necessarily had to follow assuming that the above premises were true?
(a) John may invite Ross for a meal
(b) John may not invite Ross for a meal
(c) John may or may not invite Ross for a meal",a,ponens,If-Event-Then-Event,4,28,83-strong,John may invite Ross for a meal.,John may not invite Ross for a meal.,John may or may not invite Ross for a meal.
"If John expresses gratitude to someone for helping Jessica, then John is free to return to their residence for television viewing
John expresses gratitude to someone for helping Jessica
If the curfew has been lifted and John finished his obligations toward Jessica's care, then John is free to return to their residence for television viewing

What necessarily had to follow assuming that the above premises were true?
(a) John is free to return to their residence for television viewing
(b) John is not free to return to their residence for television viewing
(c) John may or may not be free to return to their residence for television viewing",c,ponens,If-Event-Then-Event,4,28,84-strong,John is free to return to their residence for television viewing.,John is not free to return to their residence for television viewing.,John may or may not be free to return to their residence for television viewing.
"If John utters a threat, then Jessica seeks revenge
John utters a threat
If Jessica discovers that her cherished heirloom has been deliberately destroyed by John, then Jessica seeks revenge

What necessarily had to follow assuming that the above premises were true?
(a) Jessica seeks revenge
(b) Jessica does not seek revenge
(c) Jessica may or may not seek revenge",c,ponens,If-Event-Then-MentalState,4,32,85-strong,Jessica seeks revenge.,Jessica does not seek revenge.,Jessica may or may not seek revenge.
"If John sighs out of determination to assemble the bookcase solo, then John will commit to solo assembly completion
John sighs out of determination to assemble the bookcase solo
If John has all the necessary tools and instructions to build the bookcase and Jessica is unavailable to help, then John will commit to solo assembly completion

What necessarily had to follow assuming that the above premises were true?
(a) John will commit to solo assembly completion
(b) John will not commit to solo assembly completion
(c) John may or may not commit to solo assembly completion",a,ponens,If-Event-Then-Event,5,36,87-strong,John will commit to solo assembly completion.,John will not commit to solo assembly completion.,John may or may not commit to solo assembly completion.
"If John screams after striking her thumb with a hammer, then Jessica bandages John's injured thumb
John screams after striking her thumb with a hammer
If John accidentally hits his thumb while attempting to drive a nail into wood, then Jessica bandages John's injured thumb

What necessarily had to follow assuming that the above premises were true?
(a) Jessica bandages John's injured thumb
(b) Jessica does not bandage John's injured thumb
(c) Jessica may or may not bandage John's injured thumb",a,ponens,If-Event-Then-Event,5,36,88-strong,Jessica bandages John's injured thumb.,Jessica does not bandage John's injured thumb.,Jessica may or may not bandage John's injured thumb.
"If John highlights the urgency of recycling, then John feels proud for promoting environmental awareness
John highlights the urgency of recycling
If Jessica consistently adopts the recycling tips that John shares during community workshops, then John feels proud for promoting environmental awareness

What necessarily had to follow assuming that the above premises were true?
(a) John feels proud for promoting environmental awareness
(b) John does not feel proud for promoting environmental awareness
(c) John may or may not feel proud for promoting environmental awareness",a,ponens,If-Event-Then-MentalState,5,41,90-strong,John feels proud for promoting environmental awareness.,John does not feel proud for promoting environmental awareness.,John may or may not feel proud for promoting environmental awareness.
"If John points out the deadline's urgency, then Jessica will be glad to learn about the deadline
John points out the deadline's urgency
If Jessica thrives on timely information to prioritize her tasks effectively, then Jessica will be glad to learn about the deadline

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will be glad to learn about the deadline
(b) Jessica will not be glad to learn about the deadline
(c) Jessica may or may not be glad to learn about the deadline",c,ponens,If-Event-Then-MentalState,4,41,91-strong,Jessica will be glad to learn about the deadline.,Jessica will not be glad to learn about the deadline.,Jessica may or may not be glad to learn about the deadline.
"If John points out the deadline, then Jessica will finish the task on time
John points out the deadline
If Jessica allocates three uninterrupted hours to the task this afternoon, then Jessica will finish the task on time

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will finish the task on time
(b) Jessica will not finish the task on time
(c) Jessica may or may not finish the task on time",c,ponens,If-Event-Then-MentalState,5,42,92-strong,Jessica will finish the task on time.,Jessica will not finish the task on time.,Jessica may or may not finish the task on time.
"If John explains the importance of handwashing to prevent illness, then Jessica will learn about hygiene
John explains the importance of handwashing to prevent illness
If John demonstrates proper handwashing techniques to Jessica, then Jessica will learn about hygiene

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will learn about hygiene
(b) Jessica will not learn about hygiene
(c) Jessica may or may not learn about hygiene",a,ponens,If-Event-Then-MentalState,4,42,93-strong,Jessica will learn about hygiene.,Jessica will not learn about hygiene.,Jessica may or may not learn about hygiene.
"If John highlights their expertise on TopicA, then it's to clarify TopicA
John highlights their expertise on TopicA
If he intricately details the nuances of a complex subject during a dialogue with her, then it's to clarify TopicA

What necessarily had to follow assuming that the above premises were true?
(a) It's to clarify TopicA
(b) It's not to clarify TopicA
(c) It may or may not be to clarify TopicA",c,ponens,If-Event-Then-Event,4,45,96-strong,It's to clarify TopicA,It's not to clarify TopicA,It may or may not be to clarify TopicA
